acao_realizada;caracteristica_acao;n_profissionais_atendidos;descricao_acao;data_acao;data_publicacao;municipio_atendido;user_id
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre prestação de contas 2021 e plano de ação 2022 FEAS;24/02/2022;17/08/2022;Ribeirãozinho;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;24/02/2022;17/08/2022;São José do Xingu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;24/02/2022;17/08/2022;Alto Garças;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;24/02/2022;17/08/2022;Alto Garças;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;24/02/2022;17/08/2022;Juruena;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Portaria EquipaSuas;24/02/2022;17/08/2022;Brasnorte;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Análise Prestação de Contas FEAS 2021 e Plano de Ação FEAS 2022;24/02/2022;17/08/2022;Carlinda;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre reprogramação recursos COVID;24/02/2022;17/08/2022;Nobres;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Plano de Ação FEAS 2022;24/02/2022;17/08/2022;Alto Araguaia;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Prestação de Contas FEAS 2021;24/02/2022;17/08/2022;Tesouro;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Prestação de Contas 2021 do Cofinanciamento Estadual;24/02/2022;17/08/2022;Nova Xavantina;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Gestão Financeira do SUAS;24/02/2022;17/08/2022;Água Boa;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre adequação da legislação da política de assistência social;24/02/2022;17/08/2022;Poxoréu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre ativação do perfil da presidente do CMAS no sistema SAA;24/02/2022;17/08/2022;Porto Esperidião;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA (acesso ao RMA);24/02/2022;17/08/2022;Barão de Melgaço;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA (acesso ao RMA);24/02/2022;17/08/2022;Barra do Garças;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao sistema SAA (ativação de acesso de tecnico);24/02/2022;17/08/2022;Colíder;1
Apoio Tecnico Não Presencial (ATNP);Normas, orientações técnicas e materiais informativos;0;Emenda Parlamentar;23/02/2022;17/08/2022;Figueirópolis D'Oeste;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre a prestação de contas FEAS 2021;23/02/2022;17/08/2022;Arenápolis;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;23/02/2022;17/08/2022;Vila Bela da Santíssima Trindade;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;23/02/2022;17/08/2022;Jauru;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Demonstrativo 2020;23/02/2022;17/08/2022;São José do Xingu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Prestação de Contas FEAS 2021 e Plano de Ação FEAS 2022;23/02/2022;17/08/2022;Carlinda;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre reprogramação dos recursos da COVID;23/02/2022;17/08/2022;Alta Floresta;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Prestação de Contas 2021 do Cofinanciamento Estadual;23/02/2022;17/08/2022;São José do Rio Claro;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;23/02/2022;17/08/2022;Porto Esperidião;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;23/02/2022;17/08/2022;Rio Branco;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;23/02/2022;17/08/2022;Torixoréu;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;23/02/2022;17/08/2022;São Félix do Araguaia;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;23/02/2022;17/08/2022;Jauru;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o envio do Plano Municipal de Assistência Social e deliberação de aprovação do Conselho Municipal de Assistência Social;03/01/2022;17/08/2022;Pontal do Araguaia;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Atendimento referente a ativação do acesso da presidente do CMAS ao sistema SAA - solicitado no rede SUAS;23/02/2022;17/08/2022;Ribeirão Cascalheira;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre o acesso da presidente do CMAS no sistema SAA;23/02/2022;17/08/2022;Alta Floresta;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente ao acesso ao sistema SAA para o presidente do cmas;23/02/2022;17/08/2022;Peixoto de Azevedo;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;orientação referente o acesso ao sistema SAA;23/02/2022;17/08/2022;Nova Bandeirantes;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente à atualização do cadsuas e indicção de adjunto no SAA;23/02/2022;17/08/2022;Nova Xavantina;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;orientação referente ao sistema SAA - acesso da presidente do CMAS;23/02/2022;17/08/2022;Campos de Júlio;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação referente a recuperação de acesso da presidente do CMAS;23/02/2022;17/08/2022;Ribeirão Cascalheira;1
Apoio Tecnico Não Presencial (ATNP);Normas, orientações técnicas e materiais informativos;0;Lei da Política de Assistência Social;22/02/2022;17/08/2022;Feliz Natal;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;CENSO SUAS 2021;04/01/2022;17/08/2022;Acorizal;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;22/02/2022;17/08/2022;Juara;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre demonstrativo 2020;22/02/2022;17/08/2022;Nova Santa Helena;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Prestação de Contas FEAS 2021;22/02/2022;17/08/2022;Indiavaí;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre Prestação de Contas 2021 do Cofinanciamento Estadual;22/02/2022;17/08/2022;Alta Floresta;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Gestão Financeira do SUAS;22/02/2022;17/08/2022;Arenápolis;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Gestão Financeira do SUAS;22/02/2022;17/08/2022;Cocalinho;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientação sobre Gestão Financeira do SUAS;22/02/2022;17/08/2022;Nortelândia;1
Apoio Tecnico Não Presencial (ATNP);E-mails, telefonemas e mensagens;0;Orientações sobre o Demonstrativo Físico Financeiro 2020;22/02/2022;17/08/2022;Luciara;1
Outras Ações;Manifestação Técnica;0;Orientação técnica nº 01 CGT/SAAS/SETASC ao município de Itaúba, referente contratação de servidor comissionado para exercer a função de coordenador de Cras.;22/02/2022;17/08/2022;Cuiabá;1
